real,smooth,episode
1.28E+00,4.71E-01,1
9.76E-01,4.74E-01,2
6.09E-01,4.89E-01,3
2.04E+00,5.18E-01,4
2.10E+00,5.60E-01,5
2.23E+00,6.15E-01,6
1.91E+00,6.83E-01,7
2.26E+00,7.64E-01,8
2.23E+00,8.59E-01,9
1.72E+00,9.66E-01,10
-8.38E-02,1.09E+00,11
-1.48E-01,1.22E+00,12
-1.60E-01,1.37E+00,13
-1.72E-01,1.53E+00,14
-1.41E-01,1.70E+00,15
-1.56E-01,1.89E+00,16
-1.60E-01,2.09E+00,17
1.61E+00,2.30E+00,18
2.25E+00,2.53E+00,19
2.27E+00,2.76E+00,20
2.26E+00,3.02E+00,21
2.27E+00,3.28E+00,22
2.30E+00,3.56E+00,23
2.27E+00,3.85E+00,24
2.31E+00,4.16E+00,25
2.19E+00,4.47E+00,26
2.14E+00,5.09E+00,27
2.02E+00,5.52E+00,28
2.18E+00,5.97E+00,29
2.04E+00,6.45E+00,30
2.23E+00,6.95E+00,31
1.29E+01,7.46E+00,32
1.28E+01,7.96E+00,33
1.35E+01,8.49E+00,34
1.35E+01,9.01E+00,35
1.26E+01,9.51E+00,36
1.09E+01,9.95E+00,37
1.24E+01,1.04E+01,38
1.06E+01,1.08E+01,39
1.17E+01,1.11E+01,40
1.09E+01,1.15E+01,41
1.34E+01,1.18E+01,42
1.35E+01,1.21E+01,43
1.35E+01,1.24E+01,44
1.34E+01,1.26E+01,45
1.36E+01,1.29E+01,46
1.35E+01,1.31E+01,47
1.34E+01,1.33E+01,48
1.33E+01,1.35E+01,49
1.26E+01,1.36E+01,50
1.24E+01,1.37E+01,51
7.61E+00,1.37E+01,52
1.35E+01,1.37E+01,53
1.29E+01,1.36E+01,54
1.35E+01,1.35E+01,55
1.33E+01,1.33E+01,56
1.35E+01,1.31E+01,57
1.33E+01,1.32E+01,58
1.33E+01,1.32E+01,59
1.34E+01,1.32E+01,60
1.35E+01,1.33E+01,61
1.33E+01,1.34E+01,62
1.33E+01,1.34E+01,63
1.34E+01,1.34E+01,64
1.35E+01,1.34E+01,65
1.33E+01,1.34E+01,66
1.34E+01,1.33E+01,67
1.35E+01,1.33E+01,68
1.36E+01,1.34E+01,69
1.34E+01,1.34E+01,70
1.34E+01,1.34E+01,71
1.35E+01,1.34E+01,72
1.35E+01,1.34E+01,73
1.34E+01,1.34E+01,74
1.35E+01,1.34E+01,75
1.35E+01,1.34E+01,76
1.35E+01,1.33E+01,77
1.34E+01,1.31E+01,78
1.35E+01,1.31E+01,79
1.34E+01,1.30E+01,80
1.28E+01,1.30E+01,81
1.22E+01,1.29E+01,82
1.22E+01,1.29E+01,83
1.35E+01,1.28E+01,84
1.34E+01,1.28E+01,85
1.34E+01,1.27E+01,86
1.22E+01,1.27E+01,87
1.28E+01,1.26E+01,88
1.27E+01,1.26E+01,89
1.06E+01,1.25E+01,90
1.27E+01,1.25E+01,91
1.25E+01,1.25E+01,92
1.23E+01,1.24E+01,93
1.16E+01,1.24E+01,94
1.25E+01,1.24E+01,95
1.19E+01,1.23E+01,96
1.18E+01,1.23E+01,97
1.25E+01,1.23E+01,98
1.24E+01,1.23E+01,99
1.24E+01,1.22E+01,100
1.23E+01,1.22E+01,101
1.24E+01,1.22E+01,102
1.24E+01,1.22E+01,103
1.23E+01,1.22E+01,104
1.26E+01,1.22E+01,105
1.18E+01,1.22E+01,106
1.24E+01,1.21E+01,107
1.23E+01,1.21E+01,108
1.24E+01,1.21E+01,109
1.25E+01,1.21E+01,110
1.18E+01,1.21E+01,111
1.26E+01,1.21E+01,112
1.24E+01,1.21E+01,113
1.19E+01,1.22E+01,114
1.24E+01,1.22E+01,115
1.18E+01,1.21E+01,116
1.18E+01,1.21E+01,117
1.19E+01,1.21E+01,118
1.24E+01,1.22E+01,119
1.17E+01,1.21E+01,120
1.17E+01,1.22E+01,121
1.19E+01,1.22E+01,122
1.25E+01,1.22E+01,123
1.18E+01,1.22E+01,124
1.18E+01,1.22E+01,125
1.23E+01,1.22E+01,126
1.24E+01,1.22E+01,127
1.23E+01,1.22E+01,128
1.24E+01,1.22E+01,129
1.24E+01,1.23E+01,130
1.23E+01,1.23E+01,131
1.24E+01,1.23E+01,132
1.24E+01,1.23E+01,133
1.24E+01,1.23E+01,134
1.24E+01,1.23E+01,135
1.25E+01,1.24E+01,136
1.24E+01,1.24E+01,137
1.24E+01,1.24E+01,138
1.24E+01,1.24E+01,139
1.24E+01,1.24E+01,140
1.25E+01,1.24E+01,141
1.27E+01,1.24E+01,142
1.24E+01,1.24E+01,143
1.25E+01,1.25E+01,144
1.24E+01,1.25E+01,145
1.24E+01,1.25E+01,146
1.24E+01,1.24E+01,147
1.24E+01,1.24E+01,148
1.23E+01,1.24E+01,149
1.24E+01,1.24E+01,150
1.25E+01,1.24E+01,151
1.24E+01,1.24E+01,152
1.24E+01,1.24E+01,153
1.24E+01,1.24E+01,154
1.21E+01,1.24E+01,155
1.25E+01,1.24E+01,156
1.24E+01,1.24E+01,157
1.25E+01,1.24E+01,158
1.25E+01,1.24E+01,159
1.25E+01,1.24E+01,160
1.19E+01,1.24E+01,161
1.24E+01,1.24E+01,162
1.25E+01,1.24E+01,163
1.25E+01,1.24E+01,164
1.25E+01,1.24E+01,165
1.25E+01,1.24E+01,166
1.24E+01,1.24E+01,167
1.25E+01,1.24E+01,168
1.20E+01,1.24E+01,169
1.24E+01,1.24E+01,170
1.24E+01,1.24E+01,171
1.24E+01,1.24E+01,172
1.20E+01,1.24E+01,173
1.25E+01,1.24E+01,174
1.24E+01,1.24E+01,175
1.24E+01,1.24E+01,176
1.24E+01,1.24E+01,177
1.23E+01,1.24E+01,178
1.25E+01,1.24E+01,179
1.25E+01,1.24E+01,180
1.19E+01,1.24E+01,181
1.24E+01,1.24E+01,182
1.25E+01,1.24E+01,183
1.26E+01,1.24E+01,184
1.24E+01,1.24E+01,185
1.24E+01,1.24E+01,186
1.24E+01,1.24E+01,187
1.28E+01,1.24E+01,188
1.24E+01,1.24E+01,189
1.22E+01,1.24E+01,190
1.19E+01,1.24E+01,191
1.24E+01,1.24E+01,192
1.25E+01,1.24E+01,193
1.24E+01,1.24E+01,194
1.25E+01,1.23E+01,195
1.24E+01,1.23E+01,196
1.24E+01,1.23E+01,197
1.25E+01,1.23E+01,198
1.19E+01,1.23E+01,199
1.23E+01,1.23E+01,200
1.22E+01,1.23E+01,201
1.24E+01,1.23E+01,202
1.24E+01,1.23E+01,203
1.25E+01,1.23E+01,204
1.24E+01,1.23E+01,205
1.18E+01,1.23E+01,206
1.25E+01,1.23E+01,207
1.24E+01,1.23E+01,208
1.18E+01,1.23E+01,209
1.23E+01,1.23E+01,210
1.25E+01,1.23E+01,211
1.25E+01,1.23E+01,212
1.19E+01,1.23E+01,213
1.26E+01,1.23E+01,214
1.19E+01,1.23E+01,215
1.26E+01,1.23E+01,216
1.24E+01,1.23E+01,217
1.25E+01,1.23E+01,218
1.24E+01,1.23E+01,219
1.24E+01,1.23E+01,220
1.26E+01,1.23E+01,221
1.25E+01,1.23E+01,222
1.23E+01,1.23E+01,223
1.27E+01,1.24E+01,224
1.25E+01,1.23E+01,225
1.24E+01,1.23E+01,226
1.17E+01,1.23E+01,227
1.17E+01,1.23E+01,228
1.24E+01,1.23E+01,229
1.23E+01,1.23E+01,230
1.19E+01,1.23E+01,231
1.25E+01,1.23E+01,232
1.25E+01,1.23E+01,233
1.23E+01,1.23E+01,234
1.24E+01,1.23E+01,235
1.24E+01,1.22E+01,236
1.23E+01,1.22E+01,237
1.24E+01,1.21E+01,238
1.24E+01,1.21E+01,239
1.24E+01,1.21E+01,240
1.24E+01,1.21E+01,241
1.20E+01,1.21E+01,242
1.25E+01,1.21E+01,243
1.22E+01,1.21E+01,244
1.24E+01,1.22E+01,245
1.18E+01,1.22E+01,246
1.23E+01,1.23E+01,247
1.18E+01,1.23E+01,248
1.18E+01,1.24E+01,249
1.23E+01,1.25E+01,250
1.23E+01,1.26E+01,251
1.19E+01,1.27E+01,252
1.23E+01,1.28E+01,253
1.24E+01,1.29E+01,254
1.24E+01,1.30E+01,255
1.25E+01,1.30E+01,256
1.25E+01,1.31E+01,257
1.25E+01,1.31E+01,258
1.28E+01,1.32E+01,259
1.25E+01,1.32E+01,260
1.44E+01,1.33E+01,261
1.44E+01,1.34E+01,262
1.44E+01,1.35E+01,263
1.44E+01,1.35E+01,264
1.43E+01,1.36E+01,265
1.44E+01,1.37E+01,266
1.45E+01,1.38E+01,267
1.44E+01,1.38E+01,268
1.44E+01,1.39E+01,269
1.44E+01,1.40E+01,270
1.42E+01,1.40E+01,271
1.44E+01,1.41E+01,272
1.42E+01,1.41E+01,273
1.39E+01,1.41E+01,274
1.44E+01,1.42E+01,275
1.25E+01,1.42E+01,276
1.55E+01,1.42E+01,277
1.23E+01,1.42E+01,278
1.12E+01,1.42E+01,279
1.41E+01,1.42E+01,280
1.44E+01,1.42E+01,281
1.44E+01,1.42E+01,282
1.44E+01,1.41E+01,283
1.44E+01,1.41E+01,284
1.44E+01,1.41E+01,285
1.44E+01,1.40E+01,286
1.44E+01,1.40E+01,287
1.44E+01,1.40E+01,288
1.44E+01,1.40E+01,289
1.44E+01,1.40E+01,290
1.45E+01,1.41E+01,291
1.40E+01,1.42E+01,292
1.39E+01,1.42E+01,293
1.40E+01,1.42E+01,294
1.38E+01,1.42E+01,295
1.44E+01,1.42E+01,296
1.40E+01,1.42E+01,297
1.44E+01,1.42E+01,298
1.44E+01,1.43E+01,299
1.42E+01,1.43E+01,300
1.40E+01,1.43E+01,301
1.38E+01,1.43E+01,302
1.39E+01,1.43E+01,303
1.44E+01,1.43E+01,304
1.44E+01,1.42E+01,305
1.44E+01,1.42E+01,306
1.44E+01,1.42E+01,307
1.44E+01,1.42E+01,308
1.44E+01,1.42E+01,309
1.47E+01,1.42E+01,310
1.44E+01,1.42E+01,311
1.44E+01,1.41E+01,312
1.39E+01,1.41E+01,313
1.44E+01,1.41E+01,314
1.51E+01,1.40E+01,315
1.29E+01,1.40E+01,316
1.25E+01,1.40E+01,317
1.39E+01,1.40E+01,318
1.38E+01,1.40E+01,319
1.53E+01,1.40E+01,320
1.41E+01,1.39E+01,321
1.43E+01,1.39E+01,322
1.40E+01,1.39E+01,323
1.38E+01,1.39E+01,324
1.35E+01,1.39E+01,325
1.38E+01,1.38E+01,326
1.43E+01,1.38E+01,327
1.30E+01,1.38E+01,328
1.39E+01,1.38E+01,329
1.31E+01,1.38E+01,330
1.33E+01,1.38E+01,331
1.39E+01,1.37E+01,332
1.35E+01,1.37E+01,333
1.27E+01,1.37E+01,334
1.35E+01,1.37E+01,335
1.39E+01,1.38E+01,336
1.44E+01,1.38E+01,337
1.39E+01,1.38E+01,338
1.49E+01,1.38E+01,339
1.37E+01,1.38E+01,340
1.37E+01,1.39E+01,341
1.46E+01,1.38E+01,342
1.32E+01,1.38E+01,343
1.39E+01,1.38E+01,344
1.36E+01,1.38E+01,345
1.37E+01,1.38E+01,346
1.41E+01,1.38E+01,347
1.40E+01,1.38E+01,348
1.37E+01,1.38E+01,349
1.42E+01,1.38E+01,350
1.37E+01,1.38E+01,351
1.38E+01,1.38E+01,352
1.37E+01,1.39E+01,353
1.45E+01,1.39E+01,354
1.33E+01,1.38E+01,355
1.37E+01,1.38E+01,356
1.41E+01,1.38E+01,357
1.40E+01,1.38E+01,358
1.37E+01,1.38E+01,359
1.40E+01,1.38E+01,360
1.32E+01,1.37E+01,361
1.36E+01,1.37E+01,362
1.34E+01,1.37E+01,363
1.37E+01,1.37E+01,364
1.40E+01,1.38E+01,365
1.29E+01,1.38E+01,366
1.38E+01,1.37E+01,367
1.35E+01,1.38E+01,368
1.47E+01,1.37E+01,369
1.38E+01,1.38E+01,370
1.37E+01,1.37E+01,371
1.41E+01,1.37E+01,372
1.38E+01,1.38E+01,373
1.39E+01,1.38E+01,374
1.34E+01,1.38E+01,375
1.36E+01,1.38E+01,376
1.37E+01,1.38E+01,377
1.36E+01,1.38E+01,378
1.34E+01,1.38E+01,379
1.44E+01,1.39E+01,380
1.41E+01,1.38E+01,381
1.40E+01,1.38E+01,382
1.41E+01,1.39E+01,383
1.34E+01,1.39E+01,384
1.39E+01,1.39E+01,385
1.38E+01,1.39E+01,386
1.40E+01,1.39E+01,387
1.38E+01,1.39E+01,388
1.38E+01,1.39E+01,389
1.35E+01,1.39E+01,390
1.36E+01,1.39E+01,391
1.46E+01,1.39E+01,392
1.39E+01,1.39E+01,393
1.40E+01,1.38E+01,394
1.36E+01,1.39E+01,395
1.44E+01,1.38E+01,396
1.39E+01,1.38E+01,397
1.38E+01,1.38E+01,398
1.33E+01,1.38E+01,399
1.47E+01,1.38E+01,400
1.36E+01,1.37E+01,401
1.38E+01,1.37E+01,402
1.36E+01,1.36E+01,403
1.37E+01,1.36E+01,404
1.34E+01,1.36E+01,405
1.41E+01,1.36E+01,406
1.40E+01,1.36E+01,407
1.31E+01,1.36E+01,408
1.36E+01,1.36E+01,409
1.25E+01,1.35E+01,410
1.35E+01,1.35E+01,411
1.31E+01,1.34E+01,412
1.39E+01,1.34E+01,413
1.33E+01,1.34E+01,414
1.34E+01,1.33E+01,415
1.35E+01,1.33E+01,416
1.32E+01,1.33E+01,417
1.34E+01,1.33E+01,418
1.28E+01,1.32E+01,419
1.32E+01,1.32E+01,420
1.33E+01,1.32E+01,421
1.35E+01,1.32E+01,422
1.32E+01,1.32E+01,423
1.31E+01,1.32E+01,424
1.31E+01,1.33E+01,425
1.31E+01,1.33E+01,426
1.39E+01,1.33E+01,427
1.41E+01,1.33E+01,428
1.38E+01,1.34E+01,429
1.29E+01,1.34E+01,430
1.31E+01,1.34E+01,431
1.25E+01,1.35E+01,432
1.31E+01,1.35E+01,433
1.26E+01,1.35E+01,434
1.43E+01,1.35E+01,435
1.33E+01,1.35E+01,436
1.31E+01,1.35E+01,437
1.41E+01,1.35E+01,438
1.35E+01,1.36E+01,439
1.39E+01,1.36E+01,440
1.32E+01,1.36E+01,441
1.38E+01,1.36E+01,442
1.47E+01,1.36E+01,443
1.39E+01,1.36E+01,444
1.34E+01,1.36E+01,445
1.42E+01,1.36E+01,446
1.39E+01,1.36E+01,447
1.35E+01,1.36E+01,448
1.44E+01,1.36E+01,449
1.32E+01,1.36E+01,450
1.41E+01,1.36E+01,451
1.38E+01,1.36E+01,452
1.27E+01,1.36E+01,453
1.37E+01,1.36E+01,454
1.30E+01,1.37E+01,455
1.30E+01,1.37E+01,456
1.33E+01,1.37E+01,457
1.31E+01,1.36E+01,458
1.41E+01,1.36E+01,459
1.37E+01,1.36E+01,460
1.37E+01,1.36E+01,461
1.34E+01,1.36E+01,462
1.37E+01,1.35E+01,463
1.35E+01,1.35E+01,464
1.36E+01,1.35E+01,465
1.38E+01,1.35E+01,466
1.36E+01,1.35E+01,467
1.38E+01,1.35E+01,468
1.35E+01,1.36E+01,469
1.37E+01,1.36E+01,470
1.35E+01,1.36E+01,471
1.33E+01,1.36E+01,472
1.35E+01,1.36E+01,473
1.38E+01,1.36E+01,474
1.36E+01,1.36E+01,475
1.34E+01,1.36E+01,476
1.45E+01,1.36E+01,477
1.35E+01,1.36E+01,478
1.36E+01,1.36E+01,479
1.34E+01,1.36E+01,480
1.34E+01,1.36E+01,481
1.35E+01,1.36E+01,482
1.35E+01,1.36E+01,483
1.35E+01,1.36E+01,484
1.33E+01,1.36E+01,485
1.35E+01,1.36E+01,486
1.41E+01,1.36E+01,487
1.46E+01,1.36E+01,488
1.34E+01,1.36E+01,489
1.35E+01,1.36E+01,490
1.34E+01,1.35E+01,491
1.34E+01,1.35E+01,492
1.34E+01,1.35E+01,493
1.35E+01,1.35E+01,494
1.33E+01,1.35E+01,495
1.33E+01,1.35E+01,496
1.35E+01,1.35E+01,497
1.34E+01,1.34E+01,498
1.34E+01,1.34E+01,499
1.36E+01,1.34E+01,500
